"Create_date","OptIn_date","OptOut_date","Email_status"
"12/04/2020 10:43 AM","12/19/2017 12:59 AM",,"OptIn"
"10/06/2021 03:39 PM","08/15/2021 09:14 AM",,"OptIn"
"08/22/2021 08:53 AM",,,"OptOut"
"08/14/2020 02:27 AM",,"08/14/2020 02:27 AM","OptOut"
"04/28/2021 08:10 PM",,,"OptOut"
"02/07/2021 06:33 AM",,,"Unsubscribed"
"08/04/2021 03:00 AM","11/11/2020 06:39 AM",,"OptIn"
"02/04/2020 11:25 PM",,,"Unsubscribed"
"07/29/2020 02:30 PM",,,"OptIn"
"02/17/2021 09:06 PM","11/13/2018 12:49 AM",,"OptIn"
"07/02/2021 10:57 AM","06/21/2020 08:07 PM",,"OptIn"
"06/13/2021 01:19 PM",,,"Unsubscribed"
"06/04/2020 04:40 PM",,"06/04/2020 04:40 PM","OptOut"
"03/18/2021 07:59 AM","03/17/2019 03:08 AM",,"OptIn"
"03/07/2021 11:28 PM","01/30/2019 11:16 PM",,"Soft Bounce"
"02/05/2021 12:36 PM","09/20/2018 04:37 AM",,"Hard Bounce"
"04/21/2020 06:23 PM",,,"OptIn"
"08/25/2020 10:14 PM","10/06/2016 11:50 AM",,"OptIn"
"07/22/2021 04:17 AM","09/15/2020 08:31 PM",,"OptIn"
"10/02/2021 03:32 AM",,,"Unsubscribed"
"06/02/2021 02:39 AM",,"06/02/2021 02:39 AM","OptOut"
"07/11/2021 05:21 PM",,"07/11/2021 05:21 PM","Unsubscribed"
"08/09/2020 04:35 PM",,,"Hard Bounce"
"05/16/2021 08:45 PM","12/01/2019 02:11 PM",,"OptIn"
"08/22/2020 02:59 AM",,,"Hard Bounce"
"04/18/2020 11:11 PM","03/24/2015 12:05 AM",,"OptIn"
"05/06/2021 06:20 PM","10/18/2019 01:54 PM",,"OptIn"
"02/13/2021 11:04 AM","10/24/2018 07:22 PM",,"OptIn"
"10/11/2021 11:20 AM",,,"Unsubscribed"
"10/15/2021 07:38 AM","09/22/2021 04:21 AM",,"OptIn"
"09/25/2021 02:46 AM","06/26/2021 01:41 AM",,"OptIn"
"11/19/2020 01:47 PM",,,"Unsubscribed"
"05/17/2021 12:33 AM","12/02/2019 06:47 AM",,"OptIn"
"11/27/2020 05:33 AM","11/17/2017 01:44 PM","11/27/2020 05:33 AM","Hard Bounce"
"06/29/2021 09:42 PM","06/10/2020 05:00 PM",,"OptIn"
"06/27/2021 03:57 PM","05/31/2020 10:33 PM",,"Hard Bounce"
"05/17/2021 10:41 AM","12/04/2019 02:56 AM",,"OptIn"
"09/10/2021 03:04 AM","04/21/2021 04:50 PM",,"OptIn"
"10/15/2021 07:59 AM","09/22/2021 05:55 AM",,"OptIn"
"11/06/2020 02:44 PM",,,"OptOut"
"10/12/2021 02:13 PM","09/10/2021 07:02 AM",,"OptIn"
"12/24/2020 01:38 PM","03/16/2018 07:13 PM",,"OptIn"
"05/09/2021 01:29 AM","10/28/2019 01:28 PM",,"OptIn"
"10/13/2020 03:26 AM","05/04/2017 06:53 PM",,"OptIn"
"02/15/2021 04:47 AM",,,"OptOut"
"04/18/2021 05:21 PM","07/31/2019 09:31 PM",,"OptIn"
"10/14/2021 05:01 AM",,"10/14/2021 05:01 AM","Unsubscribed"
"03/06/2020 11:38 PM",,"03/06/2020 11:38 PM","Unsubscribed"
"12/02/2020 02:18 AM",,,"OptOut"
"01/20/2021 02:06 PM","07/12/2018 04:25 PM",,"OptIn"
"09/16/2021 09:26 AM",,,"OptOut"
"02/15/2021 02:01 AM",,,"Unsubscribed"
"09/19/2021 12:26 AM","05/30/2021 11:26 AM","09/19/2021 12:26 AM","Unsubscribed"
"08/01/2021 03:11 AM","10/29/2020 05:27 AM",,"OptIn"
"03/26/2020 09:41 AM",,,"OptOut"
"08/30/2020 10:26 AM","10/26/2016 03:43 AM","08/30/2020 10:26 AM","Unsubscribed"
"08/14/2021 11:00 PM","12/28/2020 12:39 PM",,"OptIn"
"04/01/2021 12:10 PM",,,"OptOut"
"05/08/2021 09:22 PM","10/27/2019 07:31 PM",,"OptIn"
"07/06/2021 04:18 AM","07/08/2020 01:48 AM",,"OptIn"
"06/14/2020 04:05 PM","11/26/2015 07:30 AM",,"OptIn"
"01/29/2020 04:30 AM","04/05/2014 10:03 PM",,"OptIn"
"03/28/2021 08:14 PM",,"03/28/2021 08:14 PM","Unsubscribed"
"05/08/2021 05:42 PM",,,"Unsubscribed"
"07/24/2021 03:59 PM",,,"Unsubscribed"
"10/01/2021 10:10 PM","07/25/2021 06:21 PM",,"OptIn"
"12/13/2020 10:55 AM",,,"Unsubscribed"
"11/07/2020 07:04 PM","08/24/2017 08:15 PM",,"OptIn"
"01/05/2021 03:56 PM","05/08/2018 02:21 PM",,"OptIn"
"07/21/2020 09:26 AM",,,"OptIn"
"03/27/2021 08:58 AM","04/25/2019 02:28 PM",,"Hard Bounce"
"04/04/2020 11:31 PM",,,"OptOut"
"10/28/2020 07:47 AM",,,"OptOut"
"04/27/2020 02:36 AM",,,"OptIn"
"10/04/2020 12:43 PM",,,"OptOut"
"10/02/2021 05:20 AM",,,"OptOut"
"06/17/2020 02:56 AM",,,"Unsubscribed"
"08/12/2021 09:16 PM","12/19/2020 11:42 AM",,"OptIn"
"06/05/2021 10:09 PM","02/27/2020 01:45 AM",,"OptIn"
"08/23/2021 06:55 AM","02/02/2021 08:32 PM",,"OptIn"
"05/06/2021 05:27 PM","10/18/2019 10:05 AM",,"OptIn"
"05/24/2020 03:25 AM","08/24/2015 11:10 AM",,"OptIn"
"05/23/2020 10:20 PM","08/23/2015 12:59 PM",,"OptIn"
"09/24/2021 11:55 AM","06/23/2021 08:54 AM",,"OptIn"
"10/21/2020 04:54 PM","06/11/2017 02:57 AM",,"OptIn"
"02/19/2021 05:26 PM","11/21/2018 02:11 AM",,"OptIn"
"01/23/2020 06:29 AM",,,"Unsubscribed"
"09/24/2021 04:29 PM","06/24/2021 04:49 AM",,"Hard Bounce"
"08/07/2021 03:39 PM","11/26/2020 03:51 PM",,"OptIn"
"01/11/2021 12:11 PM","06/03/2018 02:01 AM",,"OptIn"
"05/15/2021 09:26 AM","11/25/2019 04:11 AM",,"OptIn"
"08/12/2020 05:11 PM",,"08/12/2020 05:11 PM","OptOut"
"10/15/2021 03:36 PM","09/23/2021 03:06 PM",,"OptIn"
"03/23/2021 03:13 AM","04/07/2019 02:43 AM",,"OptIn"
"01/01/2021 02:52 PM","04/20/2018 10:58 PM","01/01/2021 02:52 PM","OptOut"
"06/14/2021 03:02 AM","04/02/2020 09:28 PM",,"OptIn"
"10/04/2021 04:28 AM","08/04/2021 03:07 PM",,"OptIn"
"07/07/2020 04:51 PM","03/05/2016 06:24 PM",,"OptIn"
"12/19/2020 11:44 PM",,,"OptOut"
"03/19/2021 05:34 AM","03/21/2019 01:18 AM","03/19/2021 05:34 AM","OptOut"
"03/01/2020 09:34 PM",,,"OptOut"
"07/08/2021 11:38 AM","07/18/2020 03:09 AM",,"OptIn"
"08/09/2020 11:57 AM",,,"OptIn"
"09/04/2021 01:56 AM","03/26/2021 06:54 AM",,"OptIn"
"02/24/2020 07:24 PM",,,"OptOut"
"12/12/2020 09:44 PM",,,"OptOut"
"07/06/2021 03:00 PM","07/10/2020 12:30 AM","07/06/2021 03:00 PM","Unsubscribed"
"07/09/2021 05:59 PM","07/23/2020 03:31 PM",,"OptIn"
"04/05/2020 12:41 PM",,"04/05/2020 12:41 PM","Hard Bounce"
"03/19/2021 03:29 PM","03/22/2019 08:29 PM",,"OptIn"
"07/08/2020 12:16 AM","03/07/2016 02:42 AM",,"OptIn"
"08/20/2021 02:10 PM",,,"OptOut"
"05/15/2020 02:27 AM",,,"Unsubscribed"
"05/17/2020 11:54 PM","07/28/2015 03:45 PM",,"Hard Bounce"
"08/22/2020 10:56 AM",,,"OptIn"
"11/11/2020 02:12 PM","09/10/2017 09:41 AM",,"OptIn"
"08/12/2020 11:16 PM",,,"OptIn"
"09/09/2020 03:17 AM",,,"OptOut"
"07/21/2021 05:30 AM","09/11/2020 05:06 PM",,"OptIn"
"07/12/2021 01:56 PM","08/04/2020 11:49 PM",,"OptIn"
"08/30/2021 08:53 AM","03/05/2021 05:49 PM",,"OptIn"
"07/11/2021 08:06 AM","07/30/2020 01:44 PM",,"OptIn"
"04/17/2020 10:05 PM","03/19/2015 10:38 AM",,"OptIn"
"03/19/2021 12:19 AM","03/20/2019 02:20 AM",,"OptIn"
"09/25/2020 05:50 AM","02/15/2017 04:12 PM",,"OptIn"
"12/12/2020 11:02 AM","01/22/2018 11:47 PM",,"OptIn"
"01/13/2021 10:10 PM","06/13/2018 02:54 PM",,"OptIn"
"12/16/2020 10:18 PM","02/11/2018 11:35 AM",,"OptIn"
"05/26/2020 07:50 AM",,,"OptOut"
"03/20/2021 03:35 PM",,,"OptOut"
"08/18/2021 10:18 AM",,,"Unsubscribed"
"06/19/2020 05:12 AM",,,"OptOut"
"07/09/2020 10:22 AM","03/13/2016 07:26 AM",,"OptIn"
"03/22/2020 05:12 PM","11/25/2014 08:11 AM",,"OptIn"
"03/21/2021 10:34 AM",,,"Unsubscribed"
"07/11/2021 10:37 PM","08/02/2020 05:03 AM",,"OptIn"
"03/08/2021 10:40 PM","02/04/2019 04:25 AM","03/08/2021 10:40 PM","Unsubscribed"
"12/06/2020 01:05 AM","12/26/2017 12:22 AM","12/06/2020 01:05 AM","OptOut"
"02/23/2021 01:32 PM","12/07/2018 07:51 PM",,"OptIn"
"09/18/2021 03:18 PM","05/28/2021 07:36 PM",,"OptIn"
"08/20/2021 09:46 PM",,,"Unsubscribed"
"02/22/2021 06:58 AM",,,"OptOut"
"03/19/2020 08:23 PM","11/12/2014 08:03 PM","03/19/2020 08:23 PM","Hard Bounce"
"07/27/2021 05:27 PM",,,"OptOut"
"07/26/2020 11:15 AM",,,"OptIn"
"04/09/2021 10:55 PM","06/23/2019 03:45 PM",,"Soft Bounce"
"04/08/2021 05:23 AM","06/16/2019 02:33 AM",,"Hard Bounce"
"10/03/2021 07:37 AM","07/31/2021 08:14 PM",,"OptIn"
"01/29/2020 08:03 PM","04/08/2014 05:53 PM",,"OptIn"
"06/20/2020 03:56 PM","12/22/2015 10:57 AM",,"OptIn"
"07/14/2020 12:13 PM","04/04/2016 11:51 AM",,"OptIn"
"04/25/2021 10:28 AM","08/30/2019 04:13 AM",,"OptIn"
"12/17/2020 02:43 AM",,,"OptOut"
"06/26/2021 03:45 AM","05/25/2020 08:41 AM",,"Hard Bounce"
"05/27/2021 01:30 AM","01/15/2020 01:38 AM",,"OptIn"
"03/16/2021 01:22 PM","03/09/2019 09:17 AM",,"OptIn"
"01/12/2020 01:01 PM","01/23/2014 06:47 AM",,"OptIn"
"08/03/2021 03:10 PM","11/09/2020 03:02 AM","08/03/2021 03:10 PM","OptOut"
"09/27/2021 03:32 AM","07/04/2021 10:20 PM",,"OptIn"
"10/01/2021 08:50 AM",,,"Unsubscribed"
"01/05/2021 09:11 AM",,,"OptOut"
"12/13/2020 02:38 AM","01/25/2018 07:49 PM",,"OptIn"
"08/29/2021 04:50 AM","02/28/2021 03:28 PM",,"OptIn"
"01/27/2020 10:30 PM","03/31/2014 11:17 AM",,"OptIn"
"10/02/2021 11:51 AM","07/28/2021 06:01 AM",,"OptIn"
"01/06/2021 08:28 AM",,,"OptOut"
"01/08/2021 03:24 AM","05/19/2018 09:41 AM","01/08/2021 03:24 AM","OptOut"
"09/02/2021 12:08 AM","03/17/2021 05:43 AM",,"OptIn"
"07/29/2021 05:00 PM",,,"OptOut"
"07/11/2021 07:59 PM","08/01/2020 05:34 PM",,"OptIn"
"10/12/2021 04:57 PM",,,"OptOut"
"08/20/2021 02:35 AM","01/19/2021 11:36 PM",,"OptIn"
"03/04/2021 05:27 AM",,,"Unsubscribed"
"03/22/2021 11:45 PM","04/06/2019 11:37 AM",,"OptIn"
"04/24/2021 12:23 AM","08/23/2019 11:34 PM",,"OptIn"
"08/21/2020 11:15 AM",,"08/21/2020 11:15 AM","OptOut"
"09/19/2021 07:29 AM","05/31/2021 06:12 PM",,"OptIn"
"05/12/2021 04:30 AM","11/11/2019 04:38 AM",,"OptIn"
"05/27/2021 07:37 PM","01/18/2020 08:39 AM",,"OptIn"
"03/17/2021 10:24 PM",,,"OptOut"
"02/09/2021 11:44 AM","10/07/2018 11:32 AM",,"OptIn"
"04/28/2020 06:26 AM",,,"OptIn"
"09/13/2020 12:06 AM","12/24/2016 07:08 AM",,"OptIn"
"11/26/2020 10:12 PM",,,"Unsubscribed"
"06/13/2021 11:41 PM","04/02/2020 06:49 AM",,"Hard Bounce"
"03/26/2021 02:24 PM",,,"Unsubscribed"
"05/18/2021 12:38 AM","12/06/2019 03:47 PM",,"OptIn"
"06/15/2021 12:02 AM","04/06/2020 05:02 PM",,"OptIn"
"09/06/2020 07:18 AM","11/25/2016 01:48 AM",,"OptIn"
"08/27/2021 10:12 PM","02/23/2021 01:52 AM",,"OptIn"
"03/14/2021 03:08 PM",,,"Unsubscribed"
"09/29/2021 02:34 PM","07/15/2021 03:50 PM",,"OptIn"
"02/13/2020 07:05 PM","06/12/2014 11:47 PM",,"OptIn"
"10/27/2020 08:45 PM","07/08/2017 04:08 AM",,"OptIn"
"08/11/2021 12:32 PM","12/13/2020 12:58 PM",,"OptIn"
"07/12/2021 11:21 AM","08/04/2020 12:34 PM",,"OptIn"
"10/13/2021 09:12 PM","09/15/2021 10:11 PM",,"Soft Bounce"
"07/14/2020 10:05 PM","04/06/2016 06:55 AM",,"OptIn"
"02/23/2020 03:50 AM",,,"Unsubscribed"
"08/09/2020 08:23 AM",,,"OptIn"
"08/08/2020 05:38 AM",,"08/08/2020 05:38 AM","Unsubscribed"
"02/14/2020 09:22 AM","06/15/2014 02:07 PM",,"OptIn"
"08/25/2021 10:44 PM","02/14/2021 10:51 AM","08/25/2021 10:44 PM","OptOut"
"06/04/2021 07:00 AM","02/19/2020 10:59 PM",,"OptIn"
"12/05/2020 07:27 PM","12/24/2017 11:45 PM",,"Soft Bounce"
"08/02/2020 05:08 PM",,,"OptIn"
"01/06/2021 12:00 PM","05/12/2018 05:51 AM",,"OptIn"
"03/31/2021 11:08 PM","05/15/2019 10:34 AM",,"OptIn"
"04/22/2021 08:35 PM","08/18/2019 10:20 PM",,"OptIn"
"06/20/2021 10:09 PM",,,"Unsubscribed"
"12/23/2020 06:58 AM","03/11/2018 05:29 AM",,"OptIn"
"01/15/2021 06:51 PM","06/21/2018 05:44 PM",,"OptIn"
"11/19/2020 08:22 AM",,,"Unsubscribed"
"02/05/2021 02:39 AM","09/18/2018 09:15 AM",,"Hard Bounce"
"06/04/2020 05:25 AM","10/11/2015 07:17 PM",,"OptIn"
"06/20/2020 12:34 AM","12/19/2015 03:54 PM",,"OptIn"
"10/26/2020 05:45 PM",,,"Unsubscribed"
"06/22/2020 12:54 PM",,,"OptOut"
"06/09/2021 12:56 AM",,,"Unsubscribed"
"10/11/2020 03:19 AM","04/26/2017 12:58 AM",,"OptIn"
"06/02/2021 06:11 AM","02/11/2020 02:08 AM",,"OptIn"
"02/05/2021 12:13 AM","09/17/2018 10:40 PM","02/05/2021 12:13 AM","Hard Bounce"
"05/01/2020 09:11 PM",,,"OptIn"
"09/15/2020 03:18 PM","01/04/2017 06:44 PM",,"OptIn"
"08/26/2020 11:32 PM","10/11/2016 02:11 AM",,"OptIn"
"09/25/2021 12:50 AM","06/25/2021 05:12 PM",,"OptIn"
"07/19/2021 01:01 AM","09/02/2020 04:15 AM","07/19/2021 01:01 AM","Unsubscribed"
"07/13/2021 01:56 PM",,,"Unsubscribed"
"08/23/2021 04:23 AM","02/02/2021 09:27 AM",,"OptIn"
"02/22/2021 10:51 AM","12/02/2018 11:29 PM",,"OptIn"
"03/23/2021 01:31 AM",,,"Unsubscribed"
"05/15/2020 04:40 AM","07/16/2015 10:30 AM",,"OptIn"
"04/20/2021 05:05 AM","08/07/2019 09:19 AM",,"OptIn"
"07/24/2021 07:56 PM","09/27/2020 10:07 AM",,"OptIn"
"09/19/2020 12:52 AM",,,"OptOut"
"09/29/2021 05:22 PM","07/16/2021 04:03 AM",,"OptIn"
"03/22/2021 03:42 PM","04/05/2019 12:30 AM",,"OptIn"
"01/09/2021 08:55 AM","05/24/2018 06:26 PM",,"OptIn"
"01/07/2021 01:11 PM",,,"OptOut"
"05/20/2021 10:24 AM","12/17/2019 03:45 AM",,"Hard Bounce"
"05/30/2021 11:51 PM","02/01/2020 05:07 AM",,"OptIn"
"11/13/2020 12:28 PM","09/18/2017 07:32 PM",,"OptIn"
"08/12/2021 09:48 PM","12/19/2020 02:04 PM",,"OptIn"
"11/02/2020 02:04 AM","07/30/2017 10:44 PM",,"OptIn"
"08/17/2021 06:28 AM",,,"OptOut"
"09/12/2020 10:44 AM","12/21/2016 08:48 PM",,"OptIn"
"02/04/2020 10:42 AM","05/03/2014 05:09 AM",,"OptIn"
"02/10/2020 10:31 PM","05/31/2014 12:44 PM","02/10/2020 10:31 PM","Hard Bounce"
"03/24/2020 04:19 PM","12/03/2014 09:40 PM",,"OptIn"
"02/20/2020 11:52 AM","07/12/2014 05:02 AM",,"OptIn"
"08/02/2021 12:15 PM","11/04/2020 05:39 AM",,"OptIn"
"12/28/2020 09:22 AM","04/02/2018 12:16 PM",,"OptIn"
"02/14/2020 01:47 AM","06/14/2014 05:03 AM",,"OptIn"
"12/21/2020 12:50 AM","03/01/2018 09:20 AM",,"OptIn"
"10/25/2020 08:48 PM","06/29/2017 11:04 AM",,"OptIn"
"01/13/2020 05:12 AM","01/26/2014 05:24 AM",,"Hard Bounce"
"02/12/2021 11:04 PM","10/22/2018 03:01 PM",,"OptIn"
"02/14/2021 02:00 AM","10/27/2018 12:27 PM","02/14/2021 02:00 AM","Unsubscribed"
"09/07/2020 07:19 PM",,,"Unsubscribed"
"06/22/2021 06:02 AM",,,"optout"
"02/11/2021 01:09 AM","10/14/2018 06:45 AM",,"OptIn"
"07/31/2021 12:02 PM","10/26/2020 11:22 AM","07/31/2021 12:02 PM","OptOut"
"10/05/2021 05:09 PM","08/11/2021 07:08 AM",,"OptIn"
"06/02/2020 07:18 AM","10/03/2015 10:06 AM",,"OptIn"
"12/28/2020 06:39 PM","04/04/2018 04:46 AM",,"OptIn"
"11/06/2020 08:13 PM","08/20/2017 04:33 PM",,"OptIn"
"02/10/2020 09:54 PM","05/31/2014 10:04 AM",,"OptIn"
"07/02/2020 02:26 PM","02/12/2016 12:28 PM","07/02/2020 02:26 PM","OptOut"
"01/28/2020 02:44 PM",,,"Unsubscribed"
"10/08/2021 08:24 AM","08/22/2021 06:57 PM",,"OptIn"
"09/13/2020 12:25 AM","12/24/2016 08:27 AM","09/13/2020 12:25 AM","OptOut"
"10/21/2021 11:28 PM","10/21/2021 05:28 AM",,"OptIn"
"05/24/2021 08:01 PM","01/05/2020 08:22 AM",,"OptIn"
"05/06/2021 12:58 PM","10/17/2019 02:30 PM",,"OptIn"
"05/12/2021 11:40 PM","11/14/2019 04:12 PM",,"Hard Bounce"
"08/06/2021 05:14 PM","11/22/2020 02:05 PM",,"OptIn"
"08/03/2020 01:00 AM",,,"OptIn"
"06/15/2021 07:47 AM","04/08/2020 02:50 AM",,"OptIn"
"07/11/2021 05:23 PM","08/01/2020 06:14 AM",,"OptIn"
"06/10/2021 05:24 PM",,,"Unsubscribed"
"09/14/2021 07:21 PM","05/12/2021 02:35 AM",,"OptIn"
"11/21/2020 08:50 AM",,,"OptIn"
"02/14/2021 05:43 PM","10/30/2018 08:03 AM",,"OptIn"
"07/17/2021 04:07 AM",,,"OptOut"
"07/10/2021 04:53 PM","07/27/2020 07:22 PM",,"Hard Bounce"
"06/22/2021 06:59 AM","05/08/2020 12:05 PM",,"OptIn"
"07/31/2020 02:03 PM",,"07/31/2020 02:03 PM","OptOut"
"05/26/2021 04:41 PM","01/13/2020 11:13 AM",,"OptIn"
"09/14/2021 10:06 AM","05/10/2021 10:15 AM",,"OptIn"
"10/01/2021 04:05 PM","07/24/2021 03:47 PM","10/01/2021 04:05 PM","OptOut"
"08/08/2021 04:29 AM","11/28/2020 11:49 PM",,"OptIn"
"08/27/2021 08:34 AM","02/20/2021 02:24 PM",,"OptIn"
"12/02/2020 12:20 AM","12/08/2017 10:20 AM",,"OptIn"
"11/04/2020 03:52 PM","08/11/2017 04:17 AM",,"OptIn"
"05/05/2021 12:31 AM",,,"OptOut"
"05/20/2020 02:09 PM",,,"OptOut"
"09/14/2020 03:04 PM","12/31/2016 09:05 AM","09/14/2020 03:04 PM","Unsubscribed"
"08/31/2021 09:40 PM","03/12/2021 10:17 AM",,"OptIn"
"08/28/2021 09:08 PM",,,"OptOut"
"05/09/2021 11:52 AM","10/30/2019 10:43 AM",,"Hard Bounce"
"06/11/2021 07:09 AM",,,"OptOut"
"08/06/2021 11:07 PM","11/23/2020 03:46 PM",,"Hard Bounce"
"10/19/2021 01:21 AM","10/08/2021 11:40 AM",,"OptIn"
"05/22/2021 03:57 AM","12/24/2019 04:57 PM","05/22/2021 03:57 AM","OptOut"
"07/16/2021 08:39 PM","08/23/2020 03:50 PM",,"OptIn"
"09/23/2020 03:46 PM","02/08/2017 06:10 PM",,"OptIn"
"11/18/2020 02:58 PM",,,"OptOut"
"02/19/2021 01:19 PM","11/20/2018 08:13 AM",,"OptIn"
"09/25/2020 07:02 AM","02/15/2017 09:25 PM",,"OptIn"
"11/09/2020 04:21 AM","08/30/2017 09:22 PM",,"Hard Bounce"
"03/10/2021 07:55 PM",,,"OptOut"
"10/13/2021 03:23 AM","09/12/2021 04:27 PM",,"OptIn"
"07/25/2021 07:22 PM","10/01/2020 04:17 PM",,"OptIn"
"11/18/2020 08:17 AM",,,"OptIn"
"10/20/2021 12:08 AM","10/12/2021 02:59 PM",,"OptIn"
"03/03/2021 01:23 PM","01/11/2019 04:34 PM","03/03/2021 01:23 PM","Unsubscribed"
"04/21/2021 04:35 AM","08/11/2019 03:48 PM",,"OptIn"
"10/02/2021 07:14 PM",,,"Unsubscribed"
"08/02/2021 09:34 AM",,,"Unsubscribed"
"06/27/2021 08:55 PM","06/01/2020 08:13 PM",,"OptIn"
"06/16/2021 11:15 AM",,,"Unsubscribed"
"11/05/2020 03:24 PM","08/15/2017 10:55 AM",,"OptIn"
"10/10/2021 11:23 PM","09/03/2021 05:40 AM","10/10/2021 11:23 PM","OptOut"
"08/31/2021 08:41 PM",,,"Unsubscribed"
"11/25/2020 07:45 PM",,,"Unsubscribed"
"01/20/2020 11:44 PM","03/01/2014 02:56 AM",,"OptIn"
"10/16/2020 06:00 AM","05/18/2017 08:05 AM",,"OptIn"
"09/11/2021 04:22 AM",,,"OptOut"
"03/23/2020 01:43 AM",,,"OptOut"
"08/14/2020 07:27 PM",,,"OptIn"
"09/03/2021 07:06 PM","03/25/2021 01:06 AM",,"OptIn"
"03/18/2021 01:20 AM","03/15/2019 10:06 PM",,"OptIn"
"12/26/2020 01:14 PM","03/25/2018 11:47 AM",,"OptIn"
"12/03/2020 10:12 AM",,,"OptOut"
"05/21/2021 05:09 PM","12/22/2019 05:53 PM",,"OptIn"
"05/02/2020 12:03 AM",,,"OptIn"
"02/23/2021 01:05 PM","12/07/2018 05:55 PM",,"OptIn"
"01/07/2021 12:28 PM","05/16/2018 04:32 PM",,"OptIn"
"09/18/2020 02:05 AM","01/15/2017 11:08 AM",,"OptIn"
"05/15/2021 10:13 AM","11/25/2019 07:33 AM",,"OptIn"
"07/09/2020 08:29 PM","03/15/2016 03:35 AM",,"OptIn"
"10/05/2021 01:39 PM","08/10/2021 03:54 PM",,"OptIn"
"10/19/2021 02:49 PM",,,"OptOut"
"10/29/2020 04:46 AM","07/13/2017 11:49 PM",,"OptIn"
"10/23/2020 06:14 AM","06/17/2017 09:48 PM",,"Hard Bounce"
"01/28/2021 01:32 PM","08/16/2018 11:22 AM",,"OptIn"
"11/16/2020 03:36 AM",,,"OptOut"
"08/25/2021 04:31 AM","02/11/2021 03:25 AM",,"OptIn"
"11/19/2020 10:21 PM",,,"OptIn"
"09/19/2021 11:06 AM","06/01/2021 09:58 AM",,"OptIn"
"07/14/2021 12:00 PM","08/13/2020 08:46 AM",,"OptIn"
"05/27/2021 03:51 PM","01/17/2020 04:12 PM",,"OptIn"
"06/07/2021 11:17 AM","03/04/2020 07:43 PM",,"OptIn"
"06/04/2021 10:25 PM",,,"Unsubscribed"
"11/16/2020 11:23 AM",,,"OptIn"
"05/16/2020 09:07 AM",,"05/16/2020 09:07 AM","OptOut"
"07/01/2021 05:52 AM","06/16/2020 01:15 PM",,"OptIn"
"08/20/2021 04:08 AM","01/20/2021 06:23 AM",,"OptIn"
"07/01/2021 03:19 PM",,"07/01/2021 03:19 PM","OptOut"
"02/16/2020 09:56 PM","06/26/2014 02:14 PM",,"Hard Bounce"
"09/21/2021 02:35 AM","06/08/2021 02:12 PM",,"Hard Bounce"
"02/10/2021 11:32 AM","10/11/2018 07:20 PM",,"OptIn"
"11/05/2020 10:42 AM","08/14/2017 02:24 PM",,"OptIn"
"07/06/2021 11:08 AM","07/09/2020 07:38 AM",,"OptIn"
"09/21/2021 06:30 AM","06/09/2021 07:15 AM",,"OptIn"
"05/04/2020 07:28 PM","06/01/2015 03:42 AM",,"OptIn"
"02/10/2020 05:56 AM","05/28/2014 12:28 PM",,"OptIn"
"10/04/2021 05:15 PM",,,"Unsubscribed"
"04/30/2021 07:11 AM","09/20/2019 09:14 AM",,"OptIn"
"10/10/2020 04:24 PM","04/24/2017 01:23 AM",,"OptIn"
"03/06/2021 12:25 PM",,,"Unsubscribed"
"10/02/2020 08:49 AM","03/18/2017 05:54 PM",,"Hard Bounce"
"01/24/2020 10:41 PM","03/18/2014 09:00 AM",,"OptIn"
"11/27/2020 03:20 AM","11/17/2017 04:07 AM",,"Hard Bounce"
"11/06/2020 12:19 AM","08/17/2017 01:47 AM",,"OptIn"
"07/23/2020 06:40 AM",,,"OptIn"
"11/15/2020 04:36 PM","09/28/2017 06:54 AM",,"OptIn"
"05/11/2021 11:44 PM","11/10/2019 07:49 AM",,"OptIn"
"09/16/2021 03:06 PM","05/20/2021 01:22 AM",,"OptIn"
"09/17/2021 10:51 AM","05/23/2021 03:33 PM",,"OptIn"
"10/19/2020 09:17 AM","06/01/2017 12:24 AM",,"OptIn"
"01/06/2021 05:31 PM",,,"OptOut"
"03/09/2021 05:31 PM",,,"Unsubscribed"
"06/24/2021 01:36 AM","05/16/2020 05:55 AM",,"OptIn"
"05/17/2021 09:48 PM","12/06/2019 03:28 AM",,"OptIn"
"11/30/2020 02:30 AM","11/30/2017 02:27 AM",,"OptIn"
"10/15/2021 08:51 AM","09/22/2021 09:38 AM",,"OptIn"
"07/25/2021 09:54 PM",,,"OptOut"
"05/26/2021 04:57 PM","01/13/2020 12:22 PM",,"Hard Bounce"
"06/02/2021 09:01 PM",,,"OptOut"
"06/26/2021 05:05 AM",,,"Unsubscribed"
"10/17/2020 05:07 AM","05/22/2017 12:53 PM",,"OptIn"
"06/15/2021 06:28 PM",,,"OptOut"
"01/04/2021 09:34 AM","05/03/2018 01:52 AM",,"OptIn"
"02/10/2021 10:00 AM","10/11/2018 12:42 PM","02/10/2021 10:00 AM","Unsubscribed"
"07/07/2021 12:11 PM","07/13/2020 08:49 PM",,"OptIn"
"10/13/2021 10:11 PM","09/16/2021 02:29 AM",,"OptIn"
"07/11/2021 04:54 PM","08/01/2020 04:05 AM",,"OptIn"
"02/09/2021 12:14 AM","10/05/2018 09:23 AM",,"OptIn"
"09/15/2021 07:20 AM","05/14/2021 06:49 AM",,"OptIn"
"03/01/2021 10:35 PM",,,"Unsubscribed"
"07/23/2021 07:48 PM","09/23/2020 12:50 AM",,"OptIn"
