"Status of existing checking account","Credit history","Savings account/bonds","Present employment since","Installment rate in percentage of disposable income","Personal status and sex","Other debtors / guarantors","Present residence since","Property","Age in years","Other installment plans","Housing","Number of existing credits at this bank","Job","Number of people being liable to provide maintenance for","Telephone","Foreign worker","Score","ClientID"
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","1 to 4 years",4,"female (divorced/separated/married)","none",2,"building society savings agreement/ life insurance",35,"none","own",2,"skilled employee / official",1,"none","Yes","good",13297
"Negative","existing credits paid back duly till now","less than 100","more than 7 years",1,"male (single)","guarantor",3,"building society savings agreement/ life insurance",39,"none","own",1,"skilled employee / official",2,"none","Yes","good",13310
"Negative","existing credits paid back duly till now","unknown / no savings account","more than 7 years",4,"female (divorced/separated/married)","none",2,"car or other",29,"bank","own",1,"skilled employee / official",1,"none","Yes","bad",13323
"No checking account","existing credits paid back duly till now","less than 100","4 to 7 years",3,"male (single)","none",2,"building society savings agreement/ life insurance",51,"none","own",1,"skilled employee / official",2,"none","Yes","good",13336
"Negative","no credits taken / all credits paid back duly","less than 100","more than 7 years",3,"male (single)","none",4,"unknown / no property",24,"none","for free",2,"skilled employee / official",2,"none","Yes","bad",13349
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","1 to 4 years",3,"female (divorced/separated/married)","none",2,"real estate",27,"none","own",2,"skilled employee / official",1,"none","Yes","good",13362
"No checking account","all credits at this bank paid back duly","500 to 1000","1 to 4 years",4,"female (divorced/separated/married)","none",3,"real estate",35,"none","own",1,"unskilled - resident",2,"none","Yes","good",13375
"No checking account","existing credits paid back duly till now","less than 100","4 to 7 years",4,"male (single)","none",1,"real estate",25,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",13388
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","more than 7 years",4,"male (single)","none",4,"real estate",52,"none","own",3,"skilled employee / official",1,"none","Yes","good",13401
"No checking account","no credits taken / all credits paid back duly","100 to 500","1 to 4 years",4,"male (single)","none",1,"unknown / no property",35,"bank","rent",1,"skilled employee / official",1,"none","No","good",13414
"Over 200","existing credits paid back duly till now","less than 100","1 to 4 years",2,"male (single)","none",2,"real estate",26,"none","own",1,"skilled employee / official",1,"none","Yes","good",13427
"No checking account","existing credits paid back duly till now","less than 100","Unemployed",3,"female (divorced/separated/married)","co-Applicant",4,"real estate",22,"none","rent",1,"skilled employee / official",1,"none","Yes","bad",13440
"Negative","critical account/ other credits existing (not at this bank)","more than 1000","4 to 7 years",3,"female (divorced/separated/married)","none",4,"real estate",39,"none","own",2,"unskilled - resident",1,"yes, registered under the customers name","Yes","good",13453
"Over 200","existing credits paid back duly till now","less than 100","1 to 4 years",1,"female (divorced/separated/married)","none",2,"car or other",46,"none","own",1,"unskilled - resident",1,"none","Yes","good",13466
"0 - 200","existing credits paid back duly till now","less than 100","1 to 4 years",4,"female (divorced/separated/married)","guarantor",2,"unknown / no property",24,"bank","own",1,"skilled employee / official",1,"none","Yes","bad",13479
"No checking account","delay in paying off in the past","100 to 500","1 to 4 years",2,"male (single)","none",3,"building society savings agreement/ life insurance",35,"none","own",2,"skilled employee / official",1,"none","Yes","good",13492
"0 - 200","existing credits paid back duly till now","unknown / no savings account","4 to 7 years",2,"male (single)","none",1,"car or other",24,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",13505
"0 - 200","delay in paying off in the past","unknown / no savings account","1 to 4 years",1,"male (single)","none",1,"real estate",27,"none","own",1,"unskilled - resident",1,"none","Yes","good",13518
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","1 to 4 years",4,"male (single)","none",2,"real estate",35,"none","own",2,"unskilled - resident",1,"none","Yes","good",13531
"Negative","all credits at this bank paid back duly","less than 100","1 to 4 years",4,"male (divorced/separated)","none",1,"unknown / no property",29,"none","for free",1,"skilled employee / official",1,"none","Yes","bad",13544
"No checking account","existing credits paid back duly till now","100 to 500","less than 1 year",1,"female (divorced/separated/married)","none",4,"car or other",23,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",13557
"No checking account","critical account/ other credits existing (not at this bank)","100 to 500","Unemployed",4,"female (divorced/separated/married)","none",4,"real estate",57,"none","own",3,"unskilled - resident",1,"none","Yes","good",13570
"Negative","existing credits paid back duly till now","less than 100","1 to 4 years",2,"male (single)","none",2,"real estate",27,"none","own",1,"skilled employee / official",1,"none","Yes","good",13583
"Negative","existing credits paid back duly till now","less than 100","more than 7 years",4,"female (divorced/separated/married)","none",4,"car or other",55,"none","own",1,"skilled employee / official",1,"none","Yes","good",13596
"Negative","critical account/ other credits existing (not at this bank)","less than 100","more than 7 years",2,"male (single)","none",4,"unknown / no property",36,"none","for free",3,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good",13609
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","more than 7 years",2,"female (divorced/separated/married)","none",4,"unknown / no property",57,"bank","for free",3,"unskilled - resident",1,"none","Yes","good",13622
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","more than 7 years",3,"male (single)","none",4,"real estate",32,"none","own",2,"unskilled - resident",2,"none","No","good",13635
"0 - 200","existing credits paid back duly till now","less than 100","more than 7 years",4,"male (single)","none",3,"car or other",37,"none","own",1,"skilled employee / official",2,"none","Yes","bad",13648
"No checking account","critical account/ other credits existing (not at this bank)","unknown / no savings account","more than 7 years",4,"male (single)","none",4,"real estate",36,"none","own",2,"skilled employee / official",1,"none","Yes","good",13661
"No checking account","existing credits paid back duly till now","less than 100","less than 1 year",4,"female (divorced/separated/married)","none",3,"car or other",38,"stores","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",13674
"Negative","existing credits paid back duly till now","less than 100","more than 7 years",1,"male (divorced/separated)","none",4,"building society savings agreement/ life insurance",45,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","No","bad",13687
"No checking account","existing credits paid back duly till now","unknown / no savings account","more than 7 years",4,"male (single)","none",2,"car or other",25,"none","own",2,"skilled employee / official",1,"none","Yes","good",13700
"No checking account","existing credits paid back duly till now","unknown / no savings account","4 to 7 years",4,"male (single)","none",3,"building society savings agreement/ life insurance",32,"none","own",1,"skilled employee / official",1,"none","No","good",13713
"No checking account","critical account/ other credits existing (not at this bank)","500 to 1000","4 to 7 years",3,"female (divorced/separated/married)","none",4,"car or other",37,"none","rent",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",13726
"0 - 200","all credits at this bank paid back duly","unknown / no savings account","Unemployed",4,"male (single)","co-Applicant",4,"unknown / no property",36,"none","for free",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good",13739
"0 - 200","existing credits paid back duly till now","less than 100","4 to 7 years",4,"male (single)","none",4,"real estate",28,"none","own",2,"skilled employee / official",1,"none","Yes","bad",13752
"Negative","existing credits paid back duly till now","less than 100","less than 1 year",1,"male (divorced/separated)","none",1,"unknown / no property",34,"none","own",1,"unskilled - resident",1,"yes, registered under the customers name","Yes","bad",13765
"No checking account","existing credits paid back duly till now","less than 100","1 to 4 years",1,"male (single)","none",2,"real estate",32,"none","own",1,"skilled employee / official",2,"none","Yes","good",13778
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","1 to 4 years",2,"female (divorced/separated/married)","none",2,"car or other",26,"none","own",2,"skilled employee / official",1,"none","Yes","good",13791
"Negative","existing credits paid back duly till now","unknown / no savings account","more than 7 years",2,"male (divorced/separated)","none",4,"building society savings agreement/ life insurance",49,"none","own",1,"unskilled - resident",1,"yes, registered under the customers name","Yes","good",13804
"No checking account","existing credits paid back duly till now","less than 100","less than 1 year",1,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",32,"none","own",1,"skilled employee / official",1,"none","Yes","bad",13817
"No checking account","existing credits paid back duly till now","100 to 500","1 to 4 years",4,"male (single)","none",4,"car or other",29,"none","rent",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good",13830
"No checking account","critical account/ other credits existing (not at this bank)","more than 1000","more than 7 years",3,"male (single)","none",4,"unknown / no property",23,"none","rent",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",13843
"No checking account","existing credits paid back duly till now","less than 100","1 to 4 years",4,"male (single)","none",2,"real estate",50,"none","own",1,"skilled employee / official",1,"none","Yes","good",13856
"Over 200","all credits at this bank paid back duly","unknown / no savings account","4 to 7 years",4,"male (single)","none",4,"car or other",49,"bank","own",1,"unskilled - resident",1,"none","Yes","good",13869
"No checking account","critical account/ other credits existing (not at this bank)","unknown / no savings account","more than 7 years",4,"male (single)","none",4,"building society savings agreement/ life insurance",63,"none","own",1,"skilled employee / official",1,"none","Yes","good",13882
"0 - 200","critical account/ other credits existing (not at this bank)","100 to 500","less than 1 year",4,"male (divorced/separated)","none",2,"car or other",37,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",13895
"Negative","existing credits paid back duly till now","less than 100","less than 1 year",1,"female (divorced/separated/married)","none",1,"real estate",35,"none","own",1,"unskilled - resident",1,"yes, registered under the customers name","Yes","good",13908
"Negative","existing credits paid back duly till now","less than 100","4 to 7 years",4,"male (single)","none",3,"building society savings agreement/ life insurance",26,"none","own",1,"skilled employee / official",2,"none","Yes","good",13921
"0 - 200","delay in paying off in the past","100 to 500","Unemployed",2,"male (single)","none",4,"unknown / no property",31,"none","for free",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good",13934
"0 - 200","existing credits paid back duly till now","less than 100","1 to 4 years",4,"female (divorced/separated/married)","guarantor",4,"real estate",49,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",13947
"Negative","delay in paying off in the past","less than 100","less than 1 year",4,"male (married/widowed)","none",4,"real estate",48,"stores","own",1,"skilled employee / official",1,"none","Yes","bad",13960
"No checking account","existing credits paid back duly till now","less than 100","1 to 4 years",2,"male (married/widowed)","none",2,"real estate",26,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","No","good",13973
"0 - 200","existing credits paid back duly till now","less than 100","less than 1 year",1,"male (married/widowed)","none",4,"car or other",28,"none","rent",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","bad",13986
"Negative","critical account/ other credits existing (not at this bank)","less than 100","more than 7 years",2,"female (divorced/separated/married)","none",4,"unknown / no property",44,"none","for free",2,"management / self-employed / highly qualified employee / officer",2,"yes, registered under the customers name","Yes","good",13999
"Over 200","critical account/ other credits existing (not at this bank)","less than 100","more than 7 years",4,"male (single)","none",4,"unknown / no property",56,"none","for free",1,"skilled employee / official",1,"none","Yes","good",14012
"No checking account","critical account/ other credits existing (not at this bank)","unknown / no savings account","more than 7 years",4,"male (divorced/separated)","none",2,"car or other",46,"bank","own",2,"management / self-employed / highly qualified employee / officer",2,"none","Yes","good",14025
"0 - 200","existing credits paid back duly till now","less than 100","less than 1 year",1,"female (divorced/separated/married)","none",2,"car or other",26,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad",14038
"No checking account","existing credits paid back duly till now","unknown / no savings account","less than 1 year",1,"female (divorced/separated/married)","none",4,"car or other",20,"none","rent",1,"skilled employee / official",1,"none","Yes","good",14051
"No checking account","existing credits paid back duly till now","unknown / no savings account","more than 7 years",4,"male (single)","co-Applicant",2,"building society savings agreement/ life insurance",45,"none","own",1,"unskilled - resident",1,"none","No","good",14064
"No checking account","existing credits paid back duly till now","less than 100","1 to 4 years",3,"male (single)","none",4,"real estate",43,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",14077
"0 - 200","critical account/ other credits existing (not at this bank)","more than 1000","4 to 7 years",3,"male (single)","none",2,"car or other",32,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",14090
"No checking account","existing credits paid back duly till now","less than 100","Unemployed",1,"female (divorced/separated/married)","none",4,"real estate",54,"none","own",1,"unemployed / unskilled - non-resident",1,"yes, registered under the customers name","Yes","good",14103
"0 - 200","no credits taken / all credits paid back duly","less than 100","1 to 4 years",4,"female (divorced/separated/married)","none",1,"car or other",42,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad",14116
"Over 200","critical account/ other credits existing (not at this bank)","unknown / no savings account","4 to 7 years",4,"male (single)","none",2,"real estate",37,"bank","own",2,"unskilled - resident",2,"none","Yes","bad",14129
"Negative","critical account/ other credits existing (not at this bank)","less than 100","4 to 7 years",4,"male (single)","co-Applicant",3,"building society savings agreement/ life insurance",49,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",14142
"No checking account","critical account/ other credits existing (not at this bank)","500 to 1000","1 to 4 years",2,"male (single)","none",2,"unknown / no property",44,"bank","for free",1,"skilled employee / official",1,"none","Yes","bad",14155
"No checking account","existing credits paid back duly till now","more than 1000","1 to 4 years",4,"male (divorced/separated)","none",2,"real estate",33,"none","own",1,"skilled employee / official",1,"none","Yes","good",14168
"No checking account","existing credits paid back duly till now","unknown / no savings account","4 to 7 years",2,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",24,"stores","rent",1,"unskilled - resident",1,"none","Yes","good",14181
"Negative","existing credits paid back duly till now","100 to 500","less than 1 year",4,"male (married/widowed)","none",3,"unknown / no property",33,"none","own",1,"unskilled - resident",1,"yes, registered under the customers name","Yes","bad",14194
"0 - 200","existing credits paid back duly till now","less than 100","1 to 4 years",3,"female (divorced/separated/married)","none",4,"real estate",24,"none","own",1,"skilled employee / official",1,"none","Yes","bad",14207
"0 - 200","existing credits paid back duly till now","less than 100","1 to 4 years",4,"male (married/widowed)","none",4,"real estate",22,"none","rent",1,"unskilled - resident",1,"none","Yes","good",14220
"0 - 200","existing credits paid back duly till now","unknown / no savings account","Unemployed",3,"male (single)","none",4,"unknown / no property",40,"bank","for free",1,"unemployed / unskilled - non-resident",1,"yes, registered under the customers name","Yes","good",14233
"No checking account","existing credits paid back duly till now","100 to 500","1 to 4 years",4,"male (single)","none",1,"car or other",25,"stores","own",1,"skilled employee / official",1,"none","Yes","good",14246
"Over 200","existing credits paid back duly till now","less than 100","less than 1 year",2,"female (divorced/separated/married)","none",4,"car or other",26,"none","own",1,"skilled employee / official",1,"none","Yes","good",14259
"0 - 200","existing credits paid back duly till now","less than 100","4 to 7 years",2,"male (married/widowed)","none",3,"car or other",25,"bank","own",1,"unskilled - resident",1,"none","Yes","bad",14272
"Over 200","existing credits paid back duly till now","unknown / no savings account","less than 1 year",1,"male (single)","none",2,"real estate",29,"none","own",1,"unskilled - resident",2,"none","No","good",14285
"Negative","all credits at this bank paid back duly","less than 100","more than 7 years",4,"male (single)","none",4,"car or other",31,"bank","own",1,"skilled employee / official",1,"none","Yes","bad",14298
"Negative","existing credits paid back duly till now","less than 100","1 to 4 years",2,"male (single)","guarantor",3,"building society savings agreement/ life insurance",38,"none","own",1,"unskilled - resident",2,"none","Yes","good",14311
"0 - 200","existing credits paid back duly till now","unknown / no savings account","1 to 4 years",1,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",48,"none","own",1,"unskilled - resident",1,"yes, registered under the customers name","Yes","good",14324
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","1 to 4 years",4,"male (single)","none",2,"car or other",32,"none","own",2,"skilled employee / official",1,"none","Yes","good",14337
"Negative","delay in paying off in the past","less than 100","more than 7 years",1,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",27,"none","own",2,"unskilled - resident",1,"none","Yes","good",14350
"0 - 200","critical account/ other credits existing (not at this bank)","less than 100","Unemployed",4,"male (married/widowed)","none",2,"car or other",28,"none","own",2,"management / self-employed / highly qualified employee / officer",1,"none","Yes","bad",14363
"Negative","existing credits paid back duly till now","less than 100","less than 1 year",4,"male (divorced/separated)","none",3,"building society savings agreement/ life insurance",32,"none","own",1,"skilled employee / official",1,"none","Yes","bad",14376
"Negative","existing credits paid back duly till now","less than 100","4 to 7 years",2,"male (single)","none",1,"unknown / no property",34,"none","for free",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good",14389
"Negative","existing credits paid back duly till now","more than 1000","1 to 4 years",4,"male (single)","none",2,"car or other",28,"none","own",1,"skilled employee / official",1,"none","Yes","good",14402
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","1 to 4 years",4,"female (divorced/separated/married)","none",3,"real estate",36,"none","own",2,"skilled employee / official",1,"none","Yes","good",14415
"Negative","critical account/ other credits existing (not at this bank)","less than 100","4 to 7 years",1,"male (single)","none",4,"real estate",39,"none","own",2,"unskilled - resident",1,"none","No","good",14428
"No checking account","critical account/ other credits existing (not at this bank)","unknown / no savings account","more than 7 years",2,"male (single)","none",4,"building society savings agreement/ life insurance",49,"none","rent",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",14441
"No checking account","existing credits paid back duly till now","more than 1000","4 to 7 years",4,"female (divorced/separated/married)","none",3,"car or other",34,"none","own",1,"skilled employee / official",2,"yes, registered under the customers name","Yes","good",14454
"Over 200","existing credits paid back duly till now","less than 100","more than 7 years",4,"male (single)","none",2,"car or other",31,"none","own",1,"skilled employee / official",1,"none","Yes","good",14467
"0 - 200","existing credits paid back duly till now","less than 100","more than 7 years",4,"male (single)","none",4,"car or other",28,"none","own",1,"skilled employee / official",2,"none","Yes","good",14480
"Negative","critical account/ other credits existing (not at this bank)","less than 100","Unemployed",2,"male (single)","none",4,"unknown / no property",75,"none","for free",2,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good",14493
"No checking account","critical account/ other credits existing (not at this bank)","100 to 500","1 to 4 years",4,"female (divorced/separated/married)","none",2,"real estate",30,"none","own",2,"skilled employee / official",1,"none","Yes","bad",14506
"0 - 200","existing credits paid back duly till now","100 to 500","less than 1 year",4,"female (divorced/separated/married)","none",2,"building society savings agreement/ life insurance",24,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"none","Yes","bad",14519
"No checking account","critical account/ other credits existing (not at this bank)","100 to 500","1 to 4 years",2,"female (divorced/separated/married)","none",4,"car or other",24,"bank","rent",2,"unskilled - resident",1,"none","Yes","bad",14532
"Negative","no credits taken / all credits paid back duly","less than 100","more than 7 years",3,"male (single)","none",4,"unknown / no property",23,"bank","rent",2,"skilled employee / official",2,"none","Yes","bad",14545
"Negative","critical account/ other credits existing (not at this bank)","less than 100","1 to 4 years",1,"male (divorced/separated)","none",4,"real estate",44,"none","rent",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","bad",14558
"0 - 200","existing credits paid back duly till now","less than 100","less than 1 year",2,"female (divorced/separated/married)","guarantor",4,"building society savings agreement/ life insurance",23,"none","own",1,"unskilled - resident",1,"none","Yes","good",14571
"Negative","existing credits paid back duly till now","unknown / no savings account","1 to 4 years",4,"female (divorced/separated/married)","none",2,"car or other",24,"none","rent",1,"skilled employee / official",1,"none","Yes","bad",14584
"Negative","existing credits paid back duly till now","less than 100","1 to 4 years",4,"male (single)","none",4,"building society savings agreement/ life insurance",28,"none","own",1,"skilled employee / official",1,"none","Yes","good",14597
"0 - 200","existing credits paid back duly till now","less than 100","1 to 4 years",4,"male (divorced/separated)","none",2,"car or other",31,"none","own",1,"unskilled - resident",1,"none","Yes","good",14610
"0 - 200","critical account/ other credits existing (not at this bank)","less than 100","less than 1 year",2,"female (divorced/separated/married)","none",4,"unknown / no property",24,"none","for free",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",14623
"Negative","existing credits paid back duly till now","less than 100","4 to 7 years",1,"female (divorced/separated/married)","none",4,"car or other",26,"none","rent",1,"unskilled - resident",1,"none","Yes","good",14636
"0 - 200","existing credits paid back duly till now","500 to 1000","less than 1 year",1,"male (married/widowed)","none",3,"real estate",25,"none","rent",1,"skilled employee / official",1,"none","Yes","good",14649
"0 - 200","existing credits paid back duly till now","less than 100","more than 7 years",1,"male (single)","co-Applicant",1,"real estate",33,"bank","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good",14662
"Over 200","existing credits paid back duly till now","less than 100","less than 1 year",1,"male (single)","guarantor",1,"building society savings agreement/ life insurance",37,"none","own",1,"unskilled - resident",2,"none","Yes","good",14675
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","1 to 4 years",4,"female (divorced/separated/married)","none",2,"car or other",43,"none","own",1,"unskilled - resident",1,"none","Yes","good",14688
"0 - 200","critical account/ other credits existing (not at this bank)","less than 100","less than 1 year",4,"male (single)","guarantor",4,"real estate",23,"none","own",2,"skilled employee / official",1,"none","Yes","good",14701
"0 - 200","existing credits paid back duly till now","500 to 1000","Unemployed",1,"female (divorced/separated/married)","none",4,"unknown / no property",23,"none","rent",1,"unemployed / unskilled - non-resident",1,"none","Yes","good",14714
"No checking account","delay in paying off in the past","100 to 500","1 to 4 years",1,"male (single)","none",2,"real estate",34,"none","own",2,"unskilled - resident",1,"none","Yes","good",14727
"0 - 200","critical account/ other credits existing (not at this bank)","more than 1000","more than 7 years",4,"male (single)","none",3,"unknown / no property",32,"none","for free",2,"skilled employee / official",2,"none","Yes","bad",14740
"No checking account","existing credits paid back duly till now","less than 100","less than 1 year",1,"female (divorced/separated/married)","none",4,"real estate",23,"none","rent",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",14753
"0 - 200","existing credits paid back duly till now","less than 100","1 to 4 years",1,"female (divorced/separated/married)","none",2,"car or other",29,"none","own",1,"skilled employee / official",1,"none","No","bad",14766
"No checking account","critical account/ other credits existing (not at this bank)","unknown / no savings account","Unemployed",2,"male (single)","none",4,"unknown / no property",38,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good",14779
"Negative","no credits taken / all credits paid back duly","less than 100","1 to 4 years",4,"male (single)","none",2,"building society savings agreement/ life insurance",28,"none","rent",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad",14792
"No checking account","existing credits paid back duly till now","500 to 1000","more than 7 years",4,"male (single)","none",4,"unknown / no property",46,"none","for free",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",14805
"0 - 200","existing credits paid back duly till now","less than 100","less than 1 year",4,"male (single)","none",2,"real estate",23,"stores","own",1,"unskilled - resident",1,"none","Yes","bad",14818
"No checking account","critical account/ other credits existing (not at this bank)","unknown / no savings account","more than 7 years",1,"male (single)","co-Applicant",4,"real estate",49,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",14831
"No checking account","delay in paying off in the past","less than 100","1 to 4 years",4,"male (single)","none",2,"car or other",26,"none","own",2,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","bad",14844
"No checking account","existing credits paid back duly till now","less than 100","1 to 4 years",4,"male (married/widowed)","none",2,"real estate",28,"none","own",1,"skilled employee / official",1,"none","Yes","good",14857
"Negative","existing credits paid back duly till now","less than 100","4 to 7 years",4,"female (divorced/separated/married)","none",4,"real estate",23,"none","rent",1,"skilled employee / official",1,"none","Yes","bad",14870
"0 - 200","existing credits paid back duly till now","unknown / no savings account","1 to 4 years",4,"male (single)","none",4,"unknown / no property",61,"none","for free",1,"skilled employee / official",1,"none","Yes","good",14883
"Over 200","existing credits paid back duly till now","unknown / no savings account","more than 7 years",2,"male (single)","none",3,"car or other",37,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"none","Yes","good",14896
"Over 200","delay in paying off in the past","less than 100","1 to 4 years",2,"female (divorced/separated/married)","none",2,"car or other",36,"stores","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",14909
"No checking account","existing credits paid back duly till now","less than 100","1 to 4 years",1,"male (married/widowed)","none",2,"building society savings agreement/ life insurance",21,"none","rent",1,"skilled employee / official",1,"none","Yes","good",14922
"Negative","existing credits paid back duly till now","less than 100","Unemployed",4,"male (single)","none",1,"car or other",25,"none","own",1,"unemployed / unskilled - non-resident",1,"none","Yes","bad",14935
"No checking account","existing credits paid back duly till now","less than 100","4 to 7 years",2,"male (single)","none",4,"car or other",36,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",14948
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","4 to 7 years",3,"male (single)","none",1,"car or other",27,"none","own",2,"skilled employee / official",1,"none","Yes","good",14961
"Negative","existing credits paid back duly till now","less than 100","less than 1 year",1,"female (divorced/separated/married)","none",4,"car or other",22,"none","rent",1,"skilled employee / official",1,"none","Yes","good",14974
"Negative","existing credits paid back duly till now","less than 100","more than 7 years",4,"male (single)","none",2,"car or other",42,"none","own",1,"skilled employee / official",2,"none","Yes","bad",14987
"0 - 200","existing credits paid back duly till now","less than 100","4 to 7 years",2,"female (divorced/separated/married)","none",4,"real estate",40,"none","rent",1,"skilled employee / official",1,"none","Yes","good",15000
"No checking account","existing credits paid back duly till now","unknown / no savings account","1 to 4 years",4,"male (single)","none",4,"real estate",36,"none","own",1,"skilled employee / official",1,"none","Yes","good",15013
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","more than 7 years",3,"male (single)","none",4,"car or other",33,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",15026
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","less than 1 year",1,"female (divorced/separated/married)","none",3,"real estate",23,"none","rent",2,"skilled employee / official",1,"none","Yes","good",15039
"No checking account","critical account/ other credits existing (not at this bank)","unknown / no savings account","more than 7 years",2,"male (single)","none",4,"unknown / no property",63,"bank","for free",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good",15052
"0 - 200","all credits at this bank paid back duly","100 to 500","more than 7 years",3,"female (divorced/separated/married)","none",4,"unknown / no property",60,"bank","for free",2,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","bad",15065
"Negative","all credits at this bank paid back duly","less than 100","4 to 7 years",2,"female (divorced/separated/married)","guarantor",4,"car or other",37,"none","rent",1,"skilled employee / official",1,"none","Yes","bad",15078
"No checking account","delay in paying off in the past","less than 100","Unemployed",2,"male (married/widowed)","none",3,"real estate",34,"none","own",2,"skilled employee / official",1,"none","Yes","good",15091
"No checking account","delay in paying off in the past","unknown / no savings account","more than 7 years",3,"male (single)","none",4,"unknown / no property",36,"none","for free",1,"skilled employee / official",1,"none","Yes","good",15104
"0 - 200","existing credits paid back duly till now","less than 100","more than 7 years",4,"male (single)","none",2,"unknown / no property",57,"none","for free",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","bad",15117
"No checking account","critical account/ other credits existing (not at this bank)","100 to 500","1 to 4 years",4,"female (divorced/separated/married)","none",4,"car or other",52,"none","own",2,"unskilled - resident",1,"none","Yes","good",15130
"Negative","existing credits paid back duly till now","unknown / no savings account","4 to 7 years",4,"male (single)","none",4,"car or other",39,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",15143
"0 - 200","existing credits paid back duly till now","less than 100","Unemployed",3,"female (divorced/separated/married)","none",4,"unknown / no property",38,"none","for free",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","bad",15156
"No checking account","existing credits paid back duly till now","unknown / no savings account","4 to 7 years",4,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",25,"none","rent",1,"skilled employee / official",1,"none","Yes","good",15169
"Over 200","existing credits paid back duly till now","less than 100","less than 1 year",4,"male (single)","none",1,"real estate",26,"none","own",1,"skilled employee / official",1,"none","Yes","good",15182
"No checking account","delay in paying off in the past","100 to 500","1 to 4 years",2,"male (single)","none",2,"building society savings agreement/ life insurance",26,"none","own",2,"unskilled - resident",1,"none","Yes","good",15195
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","1 to 4 years",2,"female (divorced/separated/married)","none",1,"car or other",25,"none","own",2,"skilled employee / official",1,"none","Yes","good",15208
